DETAILED_RACE|1184-1|Costanoan
DETAILED_RACE|1186-6|Coushatta
DETAILED_RACE|3124-5|Coushatta Tribe of Louisiana
DETAILED_RACE|1668-3|Cow Creek Band of Umpqua Tribe of Indians
DETAILED_RACE|1189-0|Cowlitz Indian Tribe
DETAILED_RACE|3127-8|Coyote Valley Band of Pomo Indians of California
DETAILED_RACE|1191-6|Cree
DETAILED_RACE|1207-0|Croatan
DETAILED_RACE|1613-9|Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota
DETAILED_RACE|1209-6|Crow Tribe of Montana
DETAILED_RACE|3132-8|Cumberland County Association for Indian People
DETAILED_RACE|1211-2|Cupeno
DETAILED_RACE|3134-4|Delaware (Lenni-Lenape)
DETAILED_RACE|3135-1|Delaware Nation, Oklahoma
DETAILED_RACE|3136-9|Delaware Tribe of Indians
DETAILED_RACE|1057-9|Digger
DETAILED_RACE|1466-2|Dry Creek Rancheria Band of Pomo Indians, California
DETAILED_RACE|1588-3|Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada
DETAILED_RACE|1519-8|Duwamish
DETAILED_RACE|3141-9|East of the River Shawnee
DETAILED_RACE|1092-6|Eastern Band of Cherokee Indians
DETAILED_RACE|1196-5|Eastern Creek
DETAILED_RACE|1197-3|Eastern Muscogee
DETAILED_RACE|3145-0|Eastern Pequot
DETAILED_RACE|1467-0|Eastern Pomo
DETAILED_RACE|1580-0|Eastern Shawnee Tribe of Oklahoma
DETAILED_RACE|1599-0|Eastern Shoshone Tribe of the Wind River Reservation, Wyoming
DETAILED_RACE|1093-4|Echota Cherokee Tribe of Alabama
DETAILED_RACE|1239-3|Edisto Natchez-Kusso Tribe of South Carolina (Natchez Indian Tribe)
DETAILED_RACE|1472-0|Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California
DETAILED_RACE|3152-6|Elk Valley Rancheria, California
DETAILED_RACE|3153-4|Elnu Abenaki Tribe
DETAILED_RACE|1590-9|Ely Shoshone Tribe of Nevada
DETAILED_RACE|3155-9|Enterprise Rancheria of Maidu Indians of California
DETAILED_RACE|1250-0|Esselen
DETAILED_RACE|1225-2|Ewiiaapaayp Band of Kumeyaay Indians, California
DETAILED_RACE|1056-1|Federated Indians of Graton Rancheria, California
DETAILED_RACE|3159-1|Fernandeno Tataviam Band of Mission Indians
DETAILED_RACE|1615-4|Flandreau Santee Sioux Tribe of South Dakota
DETAILED_RACE|1128-8|Minnesota Chippewa Tribe - Fond du Lac Band
DETAILED_RACE|3162-5|Forest County Potawatomi Community, Wisconsin
DETAILED_RACE|1252-6|Fort Belknap Indian Community of the Fort Belknap Reservation of Montana
DETAILED_RACE|1421-7|Fort Bidwell Indian Community of the Fort Bidwell Reservation of California
DETAILED_RACE|1422-5|Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California
DETAILED_RACE|1605-5|Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon
DETAILED_RACE|1256-7|Fort McDowell Yavapai Nation, Arizona
DETAILED_RACE|1729-3|Fort Mojave Indian Tribe of Arizona, California & Nevada
DETAILED_RACE|3169-0|Fort Sill Apache Tribe of Oklahoma
DETAILED_RACE|3170-8|Four Winds Cherokee
DETAILED_RACE|1260-9|Gabrieleno
